EDGE,n55,n57, true
EDGE,n55,n56, true
EDGE,n55,n54, true
EDGE,n55,n67, true
EDGE,n56,n55, true
EDGE,n56,n20, true
EDGE,n57,n59, true
EDGE,n57,n55, true
EDGE,n57,n45, true
EDGE,n58,n59, true
EDGE,n59,n60, true
EDGE,n59,n57, true
EDGE,n59,n58, true
EDGE,n60,n61, true
EDGE,n60,n63, true
EDGE,n60,n59, true
EDGE,n61,n19, true
EDGE,n61,n60, true
EDGE,n62,n63, true
EDGE,n63,n60, true
EDGE,n63,n62, true
EDGE,n63,n64, true
EDGE,n64,n63, true
EDGE,n15,n14, true
EDGE,n15,n65, true
EDGE,n15,n13, true
EDGE,n65,n15, true
EDGE,n65,n9, true
EDGE,n66,n33, true
EDGE,n67,n44, true
EDGE,n67,n55, true
